Lithology,GeologicalFormationThickness(m),ReservoirThickness(m),GasPermeability(mD),LiquidPermeability(mD),RFC_P10,RFC_P25,RFC_P50,RFC_P75,RFC_P90
Sandstone,1.2192,1.22,1,0.7585,0.21811,0.36325,0.64469,1.1401,1.9136
Sandstone,35.052,35.05,0.1,0.05419,0.44768,0.74559,1.3232,2.3401,3.9278
Sandstone,37.7952,37.8,0.1,0.06471,0.57653,0.96019,1.7041,3.0136,5.0583
Sandstone,21.336,21.34,0.1,0.05419,0.27257,0.45395,0.80565,1.4248,2.3914
Sandstone,21.336,21.34,0.1,0.05419,0.27257,0.45395,0.80565,1.4248,2.3914
Sandstone,21.336,21.34,0.1,0.05419,0.27257,0.45395,0.80565,1.4248,2.3914
Sandstone,21.336,21.34,0.1,0.05419,0.27257,0.45395,0.80565,1.4248,2.3914
Sandstone,30.1752,30.18,0.1,0.05419,0.38548,0.642,1.1394,2.015,3.382
Sandstone,21.336,21.34,0.1,0.05419,0.27257,0.45395,0.80565,1.4248,2.3914
Sandstone,21.336,21.34,0.1,0.05419,0.27257,0.45395,0.80565,1.4248,2.3914
Sandstone,37.7952,37.8,0.1,0.06471,0.57653,0.96019,1.7041,3.0136,5.0583
Sandstone,22.86,22.86,0.1,0.05736,0.30906,0.51473,0.91352,1.6155,2.7116
Sandstone,22.86,22.86,0.1,0.05736,0.30906,0.51473,0.91352,1.6155,2.7116
Sandstone,22.86,22.86,0.1,0.05736,0.30906,0.51473,0.91352,1.6155,2.7116
Sandstone,22.86,22.86,0.1,0.05736,0.30906,0.51473,0.91352,1.6155,2.7116
Sandstone,29.5656,29.57,0.1,0.06471,0.45101,0.75113,1.3331,2.3575,3.957
Sandstone,7.62,7.62,0.1,0.05419,0.09733,0.16209,0.28768,0.50875,0.85392
Sandstone,21.336,21.34,0.1,0.05419,0.27257,0.45395,0.80565,1.4248,2.3914
Sandstone,7.62,7.62,0.1,0.05419,0.09733,0.16209,0.28768,0.50875,0.85392
Sandstone,39.3192,39.32,0.1,0.05419,0.50222,0.83643,1.4845,2.6252,4.4063
Sandstone,37.7952,37.8,0.1,0.06471,0.57653,0.96019,1.7041,3.0136,5.0583
Sandstone,9.7536,9.75,0.1,0.05419,0.12453,0.2074,0.36809,0.65096,1.0926
Sandstone,29.5656,29.57,0.1,0.06471,0.45101,0.75113,1.3331,2.3575,3.957
Sandstone,18.5928,18.59,0.1,0.06471,0.28354,0.47222,0.83808,1.4821,2.4877
Sandstone,9.7536,9.75,0.1,0.05419,0.12453,0.2074,0.36809,0.65096,1.0926
Sandstone,9.7536,9.75,0.1,0.05419,0.12453,0.2074,0.36809,0.65096,1.0926
Sandstone,18.5928,18.59,0.1,0.06471,0.28354,0.47222,0.83808,1.4821,2.4877
Sandstone,9.7536,9.75,0.1,0.05419,0.12453,0.2074,0.36809,0.65096,1.0926
Sandstone,9.7536,9.75,0.1,0.05419,0.12453,0.2074,0.36809,0.65096,1.0926
Sandstone,9.7536,9.75,0.1,0.05419,0.12453,0.2074,0.36809,0.65096,1.0926
Sandstone,34.4424,34.44,0.1,0.05566,0.45182,0.75249,1.3355,2.3617,3.9641
